,Id,Status
0,1,Planned
1,2,Planned
2,3,Planned
3,4,Planned
4,5,Planned
5,6,Planned
6,7,Planned
7,8,Planned
8,9,Planned
9,10,Planned
10,11,Planned
11,12,Planned
12,13,Under Construction
13,14,Under Construction
14,15,Under Construction
15,16,Under Construction
16,17,Under Construction
17,18,Under Construction
18,19,Under Construction
19,20,Operational
20,21,Operational
21,22,Operational
22,23,Operational
23,24,Operational
24,25,Operational
25,26,Operational
26,27,Operational
27,28,Operational
28,29,Operational
29,30,Operational
30,31,Operational
31,32,Operational
32,33,Operational
33,34,Operational
34,35,Operational
35,36,Operational
36,37,Operational
37,38,Operational
38,39,Operational
39,40,Operational
40,41,Operational
41,42,Operational
42,43,Operational
43,44,Operational
44,45,Operational
45,46,Operational
46,47,Operational
47,48,Operational
48,49,Operational
49,50,Operational
50,51,Operational
51,52,Operational
52,53,Operational
53,54,Operational
54,55,Operational
55,56,Operational
56,57,Operational
57,58,Operational
58,59,Operational
59,60,Operational
60,61,Operational
61,62,Operational
62,63,Operational
63,64,Operational
64,65,Operational
65,66,Operational
66,67,Operational
67,68,Operational
68,69,Operational
69,70,Operational
70,71,Operational
71,72,Operational
72,73,Operational
73,74,Operational
74,75,Operational
75,76,Operational
76,77,Operational
77,78,Operational
78,79,Shutdown
79,80,Shutdown
80,81,Shutdown
81,82,Shutdown
82,83,Shutdown
83,84,Shutdown
84,85,Shutdown
85,86,Shutdown
86,87,Shutdown
87,88,Shutdown
88,89,Shutdown
89,90,Shutdown
90,91,Shutdown
91,92,Shutdown
92,93,Shutdown
93,94,Shutdown
94,95,Shutdown
95,96,Shutdown
96,97,Shutdown
97,98,Shutdown
98,99,Shutdown
99,100,Shutdown
