,Id,Name,Latitude,Longitude,Country,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source
0,1,Ågesta,59.206,18.0829,Sweden,Shutdown,PHWR,,1957-12-01,1964-05-01,1974-06-02,9.0,2015-05-24T04:51:37+03:00,WNA/IAEA
1,2,Akademik Lomonosov-1 (Vilyuchinsk),59.919,30.261,Russian Federation,Under Construction,PWR,KLT-40S 'Floating',2007-04-15,,,32.0,2015-05-24T04:54:13+03:00,WNA/IAEA
2,3,Akademik Lomonosov-2 (Vilyuchinsk),59.919,30.261,Russian Federation,Under Construction,PWR,KLT-40S 'Floating',2007-04-15,,,32.0,2015-05-24T04:54:13+03:00,WNA/IAEA
3,4,Akhvaz-1,,,Iran,Planned,,,,,,,,WNA
4,5,Akhvaz-2,,,Iran,Planned,,,,,,,,WNA
5,6,Akkuyu-1,36.144444,33.541111,Turkey,Under Construction,PWR,VVER V-509,2018-04-03,,,1114.0,2018-07-01T01:21:08+03:00,WNA/wikipedia/IAEA
6,7,Akkuyu-2,36.144444,33.541111,Turkey,Planned,PWR,,,,,,,wikipedia
7,8,Akkuyu-3,36.144444,33.541111,Turkey,Planned,PWR,,,,,,,wikipedia
8,9,Akkuyu-4,36.144444,33.541111,Turkey,Planned,PWR,,,,,,,wikipedia
9,10,Aktau (Shevchenko),43.607,51.283,Kazakhstan,Shutdown,FBR,BN-350,1964-10-01,1973-07-16,1999-04-22,135.0,2015-05-24T04:51:31+03:00,WNA/IAEA
10,11,Almaraz-1,39.807,-5.698,Spain,Operational,PWR,WH 3LP,1973-07-03,1983-09-01,,900.0,2017-02-10T23:56:15+02:00,WNA/IAEA
11,12,Almaraz-2,39.807,-5.698,Spain,Operational,PWR,WH 3LP,1973-07-03,1984-07-01,,900.0,2019-06-02T20:17:55+03:00,WNA/IAEA
12,13,Angra-1,-23.008,-44.457,Brazil,Operational,PWR,WH 2LP,1971-05-01,1985-01-01,,626.0,2017-02-10T23:55:45+02:00,WNA/IAEA
13,14,Angra-2,-23.008,-44.457,Brazil,Operational,PWR,PRE KONVOI,1976-01-01,2001-02-01,,1245.0,2015-05-24T04:50:19+03:00,WNA/IAEA
14,15,Angra-3,-23.01,-44.47,Brazil,Under Construction,PWR,PRE KONVOI,2010-06-01,,,1340.0,2018-07-01T01:21:29+03:00,WNA/IAEA
15,16,APS-1 Obninsk,55.084,36.57,Russian Federation,Shutdown,LWGR,AM-1,1951-01-01,1954-12-01,2002-04-29,5.0,2015-05-24T04:51:32+03:00,WNA/IAEA
16,17,Arkansas Nuclear One-1 (ANO-1),35.31,-93.23,United States,Operational,PWR,B&W LLP (DRYAMB),1968-10-01,1974-12-19,,850.0,2017-02-10T23:58:30+02:00,WNA/IAEA
17,18,Arkansas Nuclear One-2 (ANO-2),35.31,-93.229,United States,Operational,PWR,CE 2LP (DRYAMB),1968-12-06,1980-03-26,,912.0,2017-02-10T23:58:53+02:00,WNA/IAEA
18,19,Armenia-1 (Armenian-1 / Metsamor),40.182,44.147,Armenia,Shutdown,PWR,VVER V-270,1969-07-01,1977-10-06,1989-02-25,376.0,2015-05-24T04:48:59+03:00,WNA/IAEA
19,20,Armenia-2 (Armenian-2 / Metsamor),40.182,44.147,Armenia,Operational,PWR,VVER V-270,1975-07-01,1980-05-03,,375.0,2015-05-24T04:49:43+03:00,WNA/IAEA
20,21,Armenia-3 (Armenian-3 / Metsamor),40.1808,44.1472,Armenia,Planned,PWR,,,,,,,WNA
21,22,Asco-1,41.202,0.571,Spain,Operational,PWR,WH 3LP,1974-05-16,1984-12-10,,888.0,2017-02-10T23:56:18+02:00,WNA/IAEA
22,23,Asco-2,41.202,0.571,Spain,Operational,PWR,WH 3LP,1975-03-07,1986-03-31,,888.0,2017-02-10T23:56:18+02:00,WNA/IAEA
23,24,Atucha-1,-33.967,-59.209,Argentina,Operational,PHWR,PHWR KWU,1968-06-01,1974-06-24,,319.0,2015-05-24T04:50:04+03:00,WNA/IAEA
24,25,Atucha-2,-33.967,-59.209,Argentina,Operational,PHWR,PHWR KWU,1981-07-14,2016-05-26,,692.0,2017-09-25T03:19:13+03:00,WNA/IAEA
25,26,Balakovo-1,52.092,47.952,Russian Federation,Operational,PWR,VVER V-320,1980-12-01,1986-05-23,,950.0,2015-05-24T04:51:36+03:00,WNA/IAEA
26,27,Balakovo-2,52.092,47.952,Russian Federation,Operational,PWR,VVER V-320,1981-08-01,1988-01-18,,950.0,2015-05-24T04:51:36+03:00,WNA/IAEA
27,28,Balakovo-3,52.092,47.952,Russian Federation,Operational,PWR,VVER V-320,1982-11-01,1989-04-08,,950.0,2015-05-24T04:51:36+03:00,WNA/IAEA
28,29,Balakovo-4,52.092,47.952,Russian Federation,Operational,PWR,VVER V-320,1984-04-01,1993-12-22,,950.0,2015-05-24T04:51:36+03:00,WNA/IAEA
29,30,Baltic-1,54.939,22.162,Russian Federation,Under Construction,PWR,VVER V-491,2012-02-22,,,1109.0,2015-05-24T04:51:57+03:00,WNA/IAEA
30,31,Barakah-1 (Braka),23.952748,52.193298,United Arab Emirates,Under Construction,PWR,APR-1400,2012-07-19,,,1345.0,2015-12-27T17:05:51+02:00,WNA/IAEA
31,32,Barakah-2 (Braka),23.952748,52.193298,United Arab Emirates,Under Construction,PWR,APR-1400,2013-04-16,,,1345.0,2015-12-27T17:05:52+02:00,WNA/IAEA
32,33,Barakah-3 (Braka),23.952748,52.203298,United Arab Emirates,Under Construction,PWR,APR-1400,2014-09-24,,,1345.0,2015-05-24T04:51:58+03:00,WNA/IAEA
33,34,Bargi-1 (Chutka-1),,,India,Planned,PHWR,,,,,,,WNA
34,35,Bargi-2 (Chutka-2),,,India,Planned,PHWR,,,,,,,WNA
35,36,Barseback-1,55.745,12.926,Sweden,Shutdown,BWR,AA-II,1971-02-01,1975-07-01,1999-11-30,570.0,2018-03-10T14:52:00+02:00,WNA/IAEA
36,37,Barseback-2,55.745,12.926,Sweden,Shutdown,BWR,AA-II,1973-01-01,1977-07-01,2005-05-31,570.0,2018-03-10T14:52:02+02:00,WNA/IAEA
37,38,Beaver Valley-1,40.624,-80.432,United States,Operational,PWR,WH 3LP (DRYSUB),1970-06-26,1976-10-01,,835.0,2017-02-10T23:58:44+02:00,WNA/IAEA
38,39,Beaver Valley-2,40.624,-80.432,United States,Operational,PWR,WH 3LP (DRYSUB),1974-05-03,1987-11-17,,836.0,2017-02-10T23:58:59+02:00,WNA/IAEA
39,40,Belarusian-1,54.766667000000005,26.116667,Belarus,Under Construction,PWR,VVER V-491,2013-11-08,,,1110.0,2018-03-10T14:54:38+02:00,IAEA
40,41,Belarusian-2,54.766667000000005,26.116667,Belarus,Under Construction,PWR,VVER V-491,2014-04-27,,,1110.0,2018-03-10T14:54:39+02:00,IAEA
41,42,Belene-1,43.62453,25.18675,Bulgaria,Cancelled Construction,PWR,,,,,953.0,2018-03-10T13:41:44+02:00,WNA/IAEA
42,43,Belene-2,43.62453,25.1865,Bulgaria,Cancelled Construction,PWR,,,,,953.0,2018-03-10T13:41:49+02:00,WNA/IAEA
43,44,Belleville-1,47.511,2.871,France,Operational,PWR,P4 REP 1300,1980-05-01,1988-06-01,,1310.0,2015-05-24T04:51:02+03:00,WNA/IAEA
44,45,Belleville-2,47.511,2.871,France,Operational,PWR,P4 REP 1300,1980-08-01,1989-01-01,,1310.0,2015-05-24T04:51:02+03:00,WNA/IAEA
45,46,Beloyarsk-1,56.842,61.321,Russian Federation,Shutdown,LWGR,AMB-100,1958-06-01,1964-04-26,1983-01-01,102.0,2015-05-24T04:51:34+03:00,WNA/IAEA
46,47,Beloyarsk-2,56.842,61.321,Russian Federation,Shutdown,LWGR,AMB-200,1962-01-01,1969-12-01,1990-01-01,146.0,2015-05-24T04:51:35+03:00,WNA/IAEA
47,48,Beloyarsk-3,56.842,61.321,Russian Federation,Operational,FBR,BN-600,1969-01-01,1981-11-01,,560.0,2015-05-24T04:51:34+03:00,WNA/IAEA
48,49,Beloyarsk-4,56.842,61.321,Russian Federation,Operational,FBR,BN-800,2006-07-18,2016-10-31,,820.0,2017-09-25T03:19:53+03:00,WNA/IAEA
49,50,Beloyarsk-5,56.842,61.321,Russian Federation,Planned,FBR,BN-1200,,,,,,WNA/wikipedia
50,51,Berkeley-1,51.692,-2.494,United Kingdom,Shutdown,GCR,MAGNOX,1957-01-01,1962-06-12,1989-03-31,138.0,2015-05-24T04:51:19+03:00,WNA/IAEA
51,52,Berkeley-2,51.692,-2.494,United Kingdom,Shutdown,GCR,MAGNOX,1957-01-01,1962-10-20,1988-10-26,138.0,2015-05-24T04:51:19+03:00,WNA/IAEA
52,53,Beznau-1,47.552,8.229,Switzerland,Operational,PWR,WH 2LP,1965-09-01,1969-12-09,,350.0,2017-02-10T23:55:57+02:00,WNA/IAEA
53,54,Beznau-2,47.552,8.229,Switzerland,Operational,PWR,WH 2LP,1968-01-01,1972-03-04,,350.0,2017-02-10T23:56:05+02:00,WNA/IAEA
54,55,Biblis-A,49.709,8.415,Germany,Shutdown,PWR,PWR,1970-01-01,1975-02-26,2011-08-06,1146.0,2015-05-24T04:50:42+03:00,WNA/IAEA
55,56,Biblis-B,49.709,8.415,Germany,Shutdown,PWR,PWR,1972-02-01,1977-01-31,2011-08-06,1178.0,2015-05-24T04:50:42+03:00,WNA/IAEA
56,57,Big Rock Point,45.359,-85.195,United States,Shutdown,BWR,,1960-05-01,1963-03-29,1997-08-29,72.0,2015-05-24T04:51:41+03:00,WNA/IAEA
57,58,Bilibino-1,68.059,166.492,Russian Federation,Shutdown,LWGR,EGP-6,1970-01-01,1974-04-01,2019-01-14,11.0,2019-06-02T20:18:07+03:00,WNA/IAEA
58,59,Bilibino-2,68.059,166.492,Russian Federation,Operational,LWGR,EGP-6,1970-01-01,1975-02-01,,11.0,2015-05-24T04:51:32+03:00,WNA/IAEA
59,60,Bilibino-3,68.059,166.492,Russian Federation,Operational,LWGR,EGP-6,1970-01-01,1976-02-01,,11.0,2015-05-24T04:51:32+03:00,WNA/IAEA
60,61,Bilibino-4,68.059,166.492,Russian Federation,Operational,LWGR,EGP-6,1970-01-01,1977-01-01,,11.0,2015-05-24T04:51:33+03:00,WNA/IAEA
61,62,Blayais-1,45.256,-0.691,France,Operational,PWR,CP1,1977-01-01,1981-12-01,,910.0,2015-05-24T04:50:53+03:00,WNA/IAEA
62,63,Blayais-2,45.256,-0.691,France,Operational,PWR,CP1,1977-01-01,1983-02-01,,910.0,2015-05-24T04:50:54+03:00,WNA/IAEA
63,64,Blayais-3,45.256,-0.691,France,Operational,PWR,CP1,1978-04-01,1983-11-14,,910.0,2015-05-24T04:50:54+03:00,WNA/IAEA
64,65,Blayais-4,45.256,-0.691,France,Operational,PWR,CP1,1978-04-01,1983-10-01,,910.0,2015-05-24T04:50:54+03:00,WNA/IAEA
65,66,Bohunice-1,48.494,17.687,Slovakia,Shutdown,PWR,VVER V-230,1972-04-24,1980-04-01,2006-12-31,408.0,2015-05-24T04:51:38+03:00,WNA/IAEA
